pt,channel,roi_group,state,n_clips,slow,delta,theta,spindle,beta,gamma
sub-RID0365,RB01-RB02,hippocampal,N2,8,0.7781673514685925,0.6710643125135685,0.11893644285928588,0.024901236389580243,0.01772392418965768,0.009055755768819469
sub-RID0365,RB02-RB03,hippocampal,N2,8,0.8003193949766786,0.5030828560191489,0.09288566654780955,0.03471255552470997,0.019219837991071007,0.00736164812815852
sub-RID0365,RB03-RB04,temporal_neocortex,N2,8,0.7227439256361194,0.5240238702169822,0.143752904893647,0.0395244083811113,0.02022535337153945,0.008185849640372136
sub-RID0365,RB04-RB05,temporal_neocortex,N2,8,0.7113662585919887,0.5020792909914851,0.1539707193390033,0.03729502218098152,0.012521641337202731,0.0036780767007319193
sub-RID0365,RB05-RB06,temporal_neocortex,N2,8,0.64446538326136,0.379999620000974,0.19099525085836067,0.04806714434475939,0.011041406573238034,0.002435133948147204
sub-RID0365,RB06-RB07,temporal_neocortex,N2,8,0.6150203312139524,0.33460259776673756,0.19405214242049373,0.054607156942626994,0.011101328637614172,0.0032164613950919447
sub-RID0365,RB07-RB08,temporal_neocortex,N2,8,0.6409006677729414,0.3787943417482057,0.16274596148253279,0.06188727405097112,0.01564301628146286,0.003504881351056218
sub-RID0365,RB08-RB09,temporal_neocortex,N2,8,0.5443312963057703,0.3946080185398916,0.23680068094914797,0.06429376290908556,0.012036669032196337,0.0020242169810001766
sub-RID0365,RB09-RB10,temporal_neocortex,N2,8,0.4626095879414746,0.3174425168095285,0.26731819925588207,0.07707191023377759,0.017542338720405348,0.0027541011854484766
sub-RID0365,RC01-RC02,hippocampal,N2,8,0.8382719733904695,0.5138705974002801,0.07704216637569133,0.03166955023523352,0.01225505630629501,0.007276307935673029
sub-RID0365,RC07-RC08,temporal_neocortex,N2,8,0.7170765304044614,0.42849343390335026,0.179515033542552,0.027502888992403326,0.007408459388214273,0.0025434646857468222
sub-RID0365,RC08-RC09,temporal_neocortex,N2,8,0.6146511289210392,0.3847256644358287,0.2488732145749453,0.03554101662063115,0.008478511644051208,0.002105970839595914
sub-RID0365,RC09-RC10,temporal_neocortex,N2,8,0.6516572706356918,0.3862194274893912,0.19869684345058444,0.04492718166221171,0.020294353024962943,0.0063726618317435
sub-RID0365,LA07-LA08,temporal_neocortex,N3,8,0.7706425368776514,0.4493026191947084,0.13342113914490802,0.021079375719730314,0.016994924509732175,0.005680050486687943
sub-RID0365,LA08-LA09,temporal_neocortex,N3,8,0.8120676940166449,0.49357554926861247,0.11774632581972455,0.0165967306684694,0.004346920221958201,0.0005362492633529969
sub-RID0365,LA09-LA10,temporal_neocortex,N3,8,0.5544728118199583,0.481001784703881,0.2187138526097132,0.06622564480986048,0.03497374810805168,0.011422581282322198
sub-RID0365,RA01-RA02,hippocampal,N3,8,0.6506100147700893,0.5363461639727909,0.19060601068231428,0.034517426959401104,0.021875958139127568,0.008049405417006751
sub-RID0365,RA02-RA03,hippocampal,N3,8,0.7657540331121515,0.5503166822739862,0.1158951888358655,0.031056532670372602,0.024503878322476674,0.009157044919103782
sub-RID0365,RA03-RA04,hippocampal,N3,8,0.7696009072429923,0.6084685925842954,0.12878264501253853,0.022278796607593847,0.018618350546583368,0.0067379977640614815
sub-RID0365,RA08-RA09,temporal_neocortex,N3,8,0.9087111119789772,0.42605910734614383,0.05237736207662483,0.008417726543849181,0.004409376584499009,0.0010942820135671238
sub-RID0365,RA09-RA10,temporal_neocortex,N3,8,0.8101518849367908,0.5313397945894565,0.09488642095160547,0.020811089979149863,0.014719073596679904,0.0052590225384786205
sub-RID0365,RB01-RB02,hippocampal,N3,8,0.835938008313625,0.6416614030530353,0.08301761922242244,0.019469243014042115,0.01415552914003004,0.004724206833139583
sub-RID0365,RB02-RB03,hippocampal,N3,8,0.8030166328719679,0.5086039572071424,0.0961822909251139,0.030795860191758874,0.014943418129431684,0.003778090480359399
sub-RID0365,RB03-RB04,temporal_neocortex,N3,8,0.8087914488905635,0.44459378084494133,0.10193511413398665,0.022028206993927872,0.012783624305646366,0.005167248136819555
sub-RID0365,RB04-RB05,temporal_neocortex,N3,8,0.7562660386517728,0.40526605632094853,0.12922277962883894,0.029624118775776954,0.009630821675791346,0.002454061536108737
sub-RID0365,RB05-RB06,temporal_neocortex,N3,8,0.7086665369155051,0.3513402813348471,0.13692287610482146,0.044068154869365314,0.010142998438696408,0.0017403704667219848
sub-RID0365,RB06-RB07,temporal_neocortex,N3,8,0.7159759922485539,0.3234653770156044,0.11969252109859907,0.04895652938461558,0.01258869721421431,0.002104273977990509
sub-RID0365,RB07-RB08,temporal_neocortex,N3,8,0.7352253123567574,0.305846306814392,0.09398046214291841,0.055447963400892045,0.017786840419226874,0.002327084112197195
sub-RID0365,RB08-RB09,temporal_neocortex,N3,8,0.5796752501616466,0.34200719384831785,0.19002451319038832,0.06583840863122939,0.01346716164392712,0.0018139543862824964
sub-RID0365,RB09-RB10,temporal_neocortex,N3,8,0.5311337585511582,0.30643225321684464,0.20781368429021996,0.07331659163738861,0.018966550779334335,0.0023576990198764204
sub-RID0365,RC01-RC02,hippocampal,N3,8,0.829877425605257,0.49236220435706396,0.07400619201887658,0.03388777247750886,0.01333345637165842,0.005444314217197894
sub-RID0365,RC07-RC08,temporal_neocortex,N3,8,0.8018702597192973,0.39821151903092544,0.11581219847101965,0.015888721477710938,0.004633013298333612,0.0020214327544532465
sub-RID0365,RC08-RC09,temporal_neocortex,N3,8,0.7474658224334083,0.3711390718055042,0.15584169464126507,0.021033539791632583,0.005895232898418234,0.0013763927722595256
sub-RID0365,RC09-RC10,temporal_neocortex,N3,8,0.7886212641826966,0.33414694171783565,0.1234774836215327,0.024672766632058717,0.014265397900148982,0.0036392201482500037
sub-RID0365,LA07-LA08,temporal_neocortex,R,8,0.7912600069574474,0.5257081041832479,0.10281809452217654,0.02717031185203841,0.02401267554854922,0.01137505797406611
sub-RID0365,LA08-LA09,temporal_neocortex,R,8,0.9083548206866654,0.5165864279731301,0.053314250036452626,0.01019846654317164,0.005516168054075236,0.003842738959399844
sub-RID0365,LA09-LA10,temporal_neocortex,R,8,0.647033106349922,0.533127491832911,0.11437567741288074,0.08001472285082084,0.06317949205178607,0.052286142342244026
sub-RID0365,RA01-RA02,hippocampal,R,8,0.754341340188873,0.5414072394084906,0.12386645546734387,0.03093336995791725,0.02407028216836518,0.009365349598916946
sub-RID0365,RA02-RA03,hippocampal,R,8,0.7837035035457325,0.5612308581802153,0.09568805715679005,0.02818762050506482,0.02843702463881814,0.01898545916308789
sub-RID0365,RA03-RA04,hippocampal,R,8,0.6893718891071458,0.5555417564160596,0.14908460627306472,0.03809844041640027,0.03643315425686419,0.027132773813736376
sub-RID0365,RA08-RA09,temporal_neocortex,R,8,0.8458199366057303,0.6417747377796065,0.08557302109529788,0.014684811305951414,0.013361031346424423,0.005368247901167581
sub-RID0365,RA09-RA10,temporal_neocortex,R,8,0.7702540409125966,0.6214556584854936,0.10905828087755215,0.03042856035927302,0.02013774582460759,0.008622913946628449
sub-RID0365,RB01-RB02,hippocampal,R,8,0.8137131688345322,0.5607193039558461,0.09549242293584023,0.017543266894009996,0.023992615018515923,0.014208281522716578
sub-RID0365,RB02-RB03,hippocampal,R,8,0.8901930358406542,0.5753110079516417,0.05596258697488325,0.009537019675767892,0.016781159957809887,0.010819011320558415
sub-RID0365,RB03-RB04,temporal_neocortex,R,8,0.6841591917582436,0.535992725266769,0.16929133615189368,0.03500980485182197,0.03260324174266728,0.0147663840538423
sub-RID0365,RB04-RB05,temporal_neocortex,R,8,0.727169393347721,0.5934501415882113,0.13084499942208738,0.03170186016775829,0.030881059008295762,0.007185230783747146
sub-RID0365,RB05-RB06,temporal_neocortex,R,8,0.642613203219641,0.48511720024408633,0.18441810523952218,0.04063494710113026,0.01788877059875892,0.005329850590650101
sub-RID0365,RB06-RB07,temporal_neocortex,R,8,0.6712153958414497,0.5089712823993051,0.1522000702679142,0.0441765960230409,0.017546582791421995,0.005220542731050057
sub-RID0365,RB07-RB08,temporal_neocortex,R,8,0.7006778908382274,0.5429586593373795,0.1422397666179575,0.0382511034620559,0.017073605763878265,0.004598633958917061
sub-RID0365,RB08-RB09,temporal_neocortex,R,8,0.6320242449132605,0.4822338009855483,0.2007385181540538,0.03756472306162274,0.011868314901492864,0.0038939789413583825
sub-RID0365,RB09-RB10,temporal_neocortex,R,8,0.46983630780868685,0.3667130125922447,0.23789366610020338,0.07135387035758761,0.028326516287847478,0.012807154304921492
sub-RID0365,RC01-RC02,hippocampal,R,8,0.9058388994608702,0.577769957789778,0.04801795785850757,0.0072226770163951815,0.01474487651927587,0.010704125801320671
sub-RID0365,RC07-RC08,temporal_neocortex,R,8,0.652643346513422,0.46089597391399983,0.18722088551153332,0.03733370868387729,0.019026698877157015,0.005046963425926318
sub-RID0365,RC08-RC09,temporal_neocortex,R,8,0.5208762098810402,0.4182316536210039,0.28687210718024947,0.040978755128839923,0.027341185492018028,0.006170844010953632
sub-RID0365,RC09-RC10,temporal_neocortex,R,8,0.5736975151522016,0.41716495447376023,0.1914899988784715,0.046286215424731,0.05967180418708026,0.09667603536452032
sub-RID0371,LA01-LA02,amygdala,W,8,0.42897551772031545,0.34215078120193587,0.24062903785765022,0.07444506398425048,0.0928016125870913,0.08644889788646395
sub-RID0371,LA02-LA03,amygdala,W,4,0.5817696634804117,0.4605150250716695,0.2088290977883056,0.051967893335042,0.04075386334951858,0.02363339676300487
sub-RID0371,LA03-LA04,amygdala,W,4,0.4764718227571141,0.33062683010286603,0.12455244104081659,0.06331099623417497,0.11585216359401847,0.18530572929111808
sub-RID0371,LA05-LA06,temporal_neocortex,W,4,0.7337991975184555,0.5626356288219582,0.14048167980354492,0.035958121437405344,0.020315387127118948,0.005931837684099429
sub-RID0371,LA06-LA07,temporal_neocortex,W,4,0.6430039331764168,0.5093568123465326,0.16041452295511424,0.05641520309232053,0.02645995557392521,0.0034313228885002878
sub-RID0371,LA07-LA08,temporal_neocortex,W,4,0.5072762361786983,0.38551922558396,0.22850642267214472,0.08672058886772051,0.05307592610698072,0.009537635936831771
sub-RID0371,LA08-LA09,temporal_neocortex,W,4,0.5530980778176663,0.44564762162015126,0.16564075972801923,0.07778031490326068,0.06914654322853697,0.022441129788659996
sub-RID0371,LA09-LA10,temporal_neocortex,W,4,0.36044745310267984,0.3055873352446805,0.24167929959453677,0.12512138107658852,0.07635348496256451,0.011489479131056758
sub-RID0371,LB01-LB02,amygdala,W,4,0.7173925729596193,0.4912967251719531,0.1332542626313264,0.03958818708412551,0.03677590281573522,0.024554203615473783
sub-RID0371,LB05-LB06,temporal_neocortex,W,4,0.5842879288760158,0.43988178058635585,0.24612551765039223,0.047416675958506745,0.027329457872585547,0.006864666074922599
sub-RID0371,LB06-LB07,temporal_neocortex,W,4,0.5498608023853485,0.4013156403211341,0.22934876612077398,0.06261323491862293,0.04710727961327224,0.013965499797961942
sub-RID0371,LB07-LB08,temporal_neocortex,W,4,0.5197721773461221,0.34555837516343646,0.23637815051507646,0.06516573580255206,0.04167555025878139,0.005460731357296387
sub-RID0371,LB08-LB09,temporal_neocortex,W,4,0.45697492302151765,0.3007952983105139,0.2052662745179372,0.10043086827570086,0.06403352081202338,0.010191443123458876
sub-RID0371,LB09-LB10,temporal_neocortex,W,4,0.490986123414648,0.3278643498516438,0.2664154728094306,0.06639302655550836,0.041735470334288455,0.0033795030286380033
sub-RID0371,LC07-LC08,temporal_neocortex,W,4,0.35122954784983196,0.2465735925125993,0.21907530265264377,0.11693354205320601,0.09413620480089722,0.019006642722267417
sub-RID0371,LC08-LC09,temporal_neocortex,W,5,0.34333056397023576,0.25869925206590116,0.2273798505022885,0.11053451903274283,0.1030047412816912,0.042741162940450425
sub-RID0371,LC09-LC10,temporal_neocortex,W,4,0.2767971285730964,0.20005080250897989,0.2836951906966598,0.11279127088996191,0.09924633796005863,0.029023744735364104
sub-RID0371,LC10-LC11,temporal_neocortex,W,4,0.28560696414661585,0.2364203259828198,0.2830145197113876,0.11471505483402017,0.09071806411682072,0.01775229319301687
sub-RID0371,LC11-LC12,temporal_neocortex,W,4,0.45580560147271076,0.3499183340466091,0.2846937982203917,0.04815611186155081,0.03741296130013971,0.006584736007635919
